elan_id,marka,model,buraxilis_ili,muherrik_hecmi,yurus_km,yanacaq,suretler_qutusu,ban_novu,reng,seher,vuruq,rengelenib,sahib_sayi,elan_tarixi,qiymet_azn
100348,Chevrolet,Captiva,2008,1.6,336416,Benzin,Avtomat,Sedan,Qırmızı,Bakı,Xeyr,Xeyr,3,07.05.2026,4768
100336,Nissan,Qashqai,2007,3.0,405224,Benzin,Avtomat,Hetçbek,Ağ,BAKI,Xeyr,Xeyr,,09/05/2026,6625 AZN
100134,Hyundai,Santa Fe,2020,3.0,,Dizel,Mexaniki,Hetçbek,Qara,Bakı ,Xeyr,Xeyr,4+,2026-08-01,27471
100374,LADA,Priora,2010,1.5,169674,Benzin,Avtomat,Offroader,Boz,Sumqayıt,Xeyr,Bəli,,2026-01-10,3209
100435,Opel,Astra,2009,0.0,257022,Elektro,Avtomat,Hetçbek,Qəhvəyi,  Bakı ,Xeyr,Xeyr,1,2026-06-14,8137
100585,Nissan,Sunny,2013,1.5,188594,Qaz,Avtomat,Sedan,Ağ,Bakı,yoxdur,BƏLİ,,2026-08-03,8 364
100942,Toyota,RAV4,2007,2.4,345512,Dizel,Mexaniki,Universal,Yaşıl,Bakı,XEYR,xeyr,2,2026-02-28,6541
100066,Hyundai,Sonata,2002,2.0,381865 km,Benzin,Avtomat,,Mavi,Bakı,Bəli,Bəli,1,2026-05-04,2200
100626,Opel,Vectra,2016,2.0,145047,Benzin,Avtomat,,Yaşıl,Gəncə,XEYR,yoxdur,4+,2026-04-09,18252
100213, BMW,116,2004,1.5,314572 km,Benzin,Mexaniki,Furqon,Qırmızı,Sumqayıt,Xeyr,Xeyr,1,2026-05-06,3801
100251,Chevrolet,Aveo,2003,2.4,452035,Dizel,Avtomat,Universal,Qəhvəyi,  Sumqayıt ,Bəli,Xeyr,2,2026-01-13,2200
100998,Chevrolet,Aveo,2008,3.0,302968,Dizel,Mexaniki,Sedan,,Naxçıvan,Bəli,Xeyr,1,2026-07-23,"4,822"
100724,Mercedes,Vito,2019,1.6,115577,Benzin,Mexaniki,Sedan,Yaşıl,Quba,Xeyr,Bəli,1,05.04.2026,"23,129"
100682,Mercedes,S 500,2017,3.0,138105,Benzin,Mexaniki,Hetçbek,Qara,Bakı,yoxdur,XEYR,3,2026-03-07,33824 AZN
100616,LADA,Niva,2023,1.5,48970,Dizel,Avtomat,Furqon,Gümüşü,Bakı,Xeyr,Xeyr,3,2026-05-30,14160
100290,Nissan,Qashqai,2012,3.0,200255,Qaz,Avtomat,Furqon,Qırmızı,Bakı,Bəli,Xeyr,2,2026-02-14,7148
100148,Nissan,Patrol,2011,2.0,218025,Benzin,Mexaniki,Offroader,Ağ,Bakı,Bəli,Xeyr,,02.01.2026,"7,540"
100991,BMW,520,20,3.5,286705,Benzin,Avtomat,Sedan,Ağ,Gəncə,Xeyr,Bəli,,04/05/2026,7841
100040, Chevrolet,Aveo,2012,4.0,136227,Benzin,Avtomat,Sedan,Yaşıl,Lənkəran,Xeyr,,2,2026-07-01,13 636
100544,BMW,730,2002,1.4,340461 km,Benzin,Robot,Sedan,Qırmızı,Sumqayıt,Xeyr,Bəli,4+,2026-04-16,"3,348"
100634,BMW,X5,2013,2.0,209935 km,Benzin,Avtomat,Offroader,Qara,Bakı,Xeyr,Bəli,1,2026-08-26,16264
100431,Toyota,Prado,2005,3.0,429317,Hibrid,Robot,Universal,Qəhvəyi,Bakı,Xeyr,Xeyr,4+,2026-04-01,5102 AZN
100938,Mercedes,Vito,2018,2.4,178375,Dizel,Mexaniki,,,Xaçmaz,Xeyr,Bəli,1,14.07.2026,28859
100425,BMW,320,2013,1.6,133100,Dizel,Mexaniki,Sedan,Mavi,Bakı ,Xeyr,Bəli,1,2026-04-06,13322
100983,Toyota,RAV4,2018,2.0,139454,Benzin,Mexaniki,Offroader,,Bakı,Xeyr,Bəli,1,18/08/2026,25131
100797,Chevrolet,Captiva,2012,1.8,253734,Benzin,Robot,Sedan,Boz,BAKI,Xeyr,Bəli,1,2026-03-04,6719
100488,Nissan,Patrol,2009,4.0,310120,Benzin,Mexaniki,Offroader,Boz,Bakı,Xeyr,Bəli,3,13.05.2026,10971
100057,Mercedes,Vito,2009,3.0,288652,Dizel,Mexaniki,Offroader,Qəhvəyi,Naxçıvan ,XEYR,xeyr,1,2026-04-07,"13,900"
100052,Opel,Zafira,2013,1.6,220844,Benzin,Mexaniki,Universal,Gümüşü,Bərdə,Xeyr,Bəli,4+,2026-04-15,6701
100316,HYUNDAI,Santa Fe,2016,2.0,222975 km,Dizel,Avtomat,Sedan,Yaşıl,Bakı,Xeyr,Bəli,2,2026-03-17,"14,056"
100058,Kia,Sportage,2018,1.8,139206,Benzin,Avtomat,Hetçbek,Ağ,Bakı,Xeyr,Bəli,1,2026-07-22,20161
100015,Ford,Kuga,2003,4.0,476571,Hibrid,Robot,Hetçbek,,Bakı,Xeyr,Bəli,4+,2026-01-01,"3,200"
100575,Chevrolet,Captiva,2017,1.8,150868,Benzin,Avtomat,Offroader,Boz,MINGƏÇEVIR,Xeyr,Xeyr,3,28.05.2026,21 780
100985,Ford,Transit,2003,3.5,402105,Benzin,Robot,Hetçbek,Yaşıl,Lənkəran,Xeyr,Xeyr,1,2026-01-19,3619
100123,Hyundai,Sonata,2000,1.5,459644,Benzin,Avtomat,Sedan,Qəhvəyi,naxçıvan,Xeyr,Xeyr,1,25/03/2026,2200 AZN
100881,Ford,Focus,2018,3.5,79509,Benzin,Variator,Sedan,Qara,Bakı,Xeyr,Xeyr,,2026-04-05,29059 AZN
100807,Mercedes,GLE 350,2022,3.0,151167 km,Benzin,Mexaniki,Sedan,Qırmızı,lənkəran,Xeyr,Bəli,3,03.07.2026,41 934
100728,hyundai,Tucson,2012,1.5,270435,Qaz,Mexaniki,Offroader,Qəhvəyi,Şirvan,Xeyr,Bəli,4+,04/03/2026,8974
100916,Opel,Astra,2001,2.0,439514 km,Benzin,Avtomat,Sedan,,Gəncə,Xeyr,Xeyr,1,03.08.2026,2200
100826,FORD,Mondeo,2003,2.4,425621,Benzin,Robot,Universal,Boz,BAKI,Xeyr,Xeyr,1,2026-07-28,2579
100074,Chevrolet,Captiva,2011,2.0,282867,Benzin,Avtomat,Offroader,Ağ,Mingəçevir,Bəli,Xeyr,1,2026-01-08,7 372
100801,Chevrolet,Malibu,2009,4.0,235804,Dizel,Avtomat,Sedan,Qara,Bakı,Xeyr,Bəli,3,26/06/2026,7780
100900,opel,Astra,2010,4.0,246581,Benzin,Avtomat,Sedan,,  Gəncə ,Xeyr,Bəli,2,30/06/2026,7938
100381,toyota,Yaris,2006,4.0,325943 km,Benzin,Robot,Sedan,Qəhvəyi,Bakı,Xeyr,Xeyr,4+,2026-05-17,6460
100266,Mercedes,GLE 350,2000,1.5,420990,Benzin,Avtomat,Sedan,Qırmızı,Gəncə,yoxdur,var,1,2026-01-08,2711
100147,Mercedes,GLE 350,2020,3.5,94949,Benzin,Avtomat,Offroader,Boz,Bakı ,Xeyr,Xeyr,1,2026-07-05,68078
100909,LADA,Niva,2013,1.7,200305,Benzin,Avtomat,Hetçbek,Gümüşü,Bakı,Bəli,Xeyr,2,2026-02-23,3497
100184,Ford,Transit,2006,3.5,,Benzin,Mexaniki,Sedan,Ağ,Şirvan,Xeyr,Xeyr,1,2026-06-13,5003
100599,Hyundai,Tucson,2022,2.0,97259,Benzin,Mexaniki,Sedan,Qırmızı,Bakı,xeyr,xeyr,2,2026-08-25,30682
100970,LADA,2107,2009,1.7,230846,Dizel,Mexaniki,Hetçbek,Yaşıl,Bakı,Bəli,Xeyr,1,2026-04-05,2200
100795,Ford,Mondeo,2004,1.6,371022,Dizel,Mexaniki,Offroader,Qara,Bakı,Xeyr,Bəli,2,08.06.2026,3 138
100928,Kia,Optima,2006,2.4,250607,Dizel,Avtomat,Offroader,Qəhvəyi,Bakı,Bəli,Xeyr,1,2026-07-17,4645
100183,Ford,Fusion,2016,3.5,164752 km,Benzin,Mexaniki,Sedan,Qara,Bakı,Xeyr,Bəli,1,07.01.2026,18343
100450,Opel,Corsa,2019,4.0,200069 km,Dizel,Avtomat,Furqon,Gümüşü,Bakı,Xeyr,Xeyr,1,2026-05-29,21440
100586,LADA,Vesta,2016,1.7,233373 km,Qaz,Avtomat,Offroader,Gümüşü,bakı,XEYR,yoxdur,1,2026-06-17,6893
100750,Opel,Corsa,2021,3.0,73682,Dizel,Avtomat,Offroader,Ağ,Bakı,Xeyr,Xeyr,2,2026-03-27,37541
100342,Toyota,RAV4,2016,1.4,238193,Hibrid,Variator,Sedan,Boz,Mingəçevir ,Xeyr,Bəli,4+,06/05/2026,17975 AZN
100358,LADA,Granta,2013,1.7,202117,Qaz,Mexaniki,Sedan,Qara,Bakı,Xeyr,Xeyr,,2026-03-19,3544
100166, Kia,Rio,2008,1.5,296871,Benzin,Avtomat,Sedan,,Xaçmaz,Xeyr,Xeyr,2,2026-04-20,5085
100696,Nissan,Juke,2003,1.6,404976,Benzin,Avtomat,Hetçbek,Boz,BAKI,Xeyr,Xeyr,,2026-06-20,2813
100720,Nissan,Juke,1998,2.0,542909,Benzin,Avtomat,Sedan,,BAKI,Xeyr,Xeyr,1,2026-06-13,2200
100954,LADA,Granta,2003,1.7,365551,Benzin,Mexaniki,Offroader,Mavi,Bakı ,XEYR,XEYR,1,2026-03-11,2200
100448,Nissan,Sunny,2014,1.8,224574,Benzin,Avtomat,Sedan,Boz,Lənkəran,Xeyr,Xeyr,4+,2026-08-20,12 623
